ID,furnace,role,Description,UoM,pass
01TI2084A.PV,1HB,tube_COT,,,B
01TI2085A.PV,1HB,tube_COT,,,B
01TI2087A.PV,1HB,tube_COT,,,B
01TI2089A.PV,1HB,tube_COT,,,B
01TI2092A.PV,1HB,tube_COT,,,B
01TI2131A.PV,1HB,tube_COT,,,C
01TI2150A.PV,1HB,tube_COT,,,D
01TI2164A.PV,1HB,tube_COT,,,D
01TI2166A.PV,1HB,tube_COT,,,D
01TI2169A.PV,1HB,tube_COT,,,D
01TI2190A.PV,1HB,tube_COT,,,D
01TI3010A.PV,1HC,tube_COT,,,A
01TI3019A.PV,1HC,tube_COT,,,A
01TI3032A.PV,1HC,tube_COT,,,A
01TI3035A.PV,1HC,tube_COT,,,A
01TI3043A.PV,1HC,tube_COT,,,A
01TI3053A.PV,1HC,tube_COT,,,B
01TI3058A.PV,1HC,tube_COT,,,B
01TI3066A.PV,1HC,tube_COT,,,B
01TI3091A.PV,1HC,tube_COT,H-C TUBE CUR COT 091,DEGC,B
01TI3094A.PV,1HC,tube_COT,H-C TUBE CUR COT 094,DEGC,B
01TI3096A.PV,1HC,tube_COT,H-C TUBE CUR COT 096,DEGC,B
01TI3121A.PV,1HC,tube_COT,,,C
01TI1032A.PV,1HA,tube_COT,,,A
01TI1043A.PV,1HA,tube_COT,,,A
01TI1044A.PV,1HA,tube_COT,,,A
01TI1060A.PV,1HA,tube_COT,,,B
01TI1073A.PV,1HA,tube_COT,,,B
01TI1091A.PV,1HA,tube_COT,,,B
01TI1130A.PV,1HA,tube_COT,,,C
01TI1144A.PV,1HA,tube_COT,,,C
01TI1165A.PV,1HA,tube_COT,,,D
01TI2010A.PV,1HB,tube_COT,,,A
01TI2017A.PV,1HB,tube_COT,,,A
01TI2050A.PV,1HB,tube_COT,,,B
01TI2076A.PV,1HB,tube_COT,,,B
01TI2086A.PV,1HB,tube_COT,,,B
01TI2094A.PV,1HB,tube_COT,,,B
01TI2099A.PV,1HB,tube_COT,,,C
01TI2112A.PV,1HB,tube_COT,H-B TUBE CUR COT 112,DEGC,C
